"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercises","LMS service","Sun Mar 29 17:30:44 UTC 2026","passed","Sun Mar 29 17:30:44 UTC 2026","GET entities","Exercises","",""
"","288","Create user","LMS service","Sun Mar 29 17:30:29 UTC 2026","passed","Sun Mar 29 17:30:29 UTC 2026","Create entity","Users","",""
"","14","Get exercise","LMS service","Sun Mar 29 17:30:42 UTC 2026","passed","Sun Mar 29 17:30:42 UTC 2026","Get entity","Exercises","",""
"","12","Get file","LMS service","Sun Mar 29 17:30:33 UTC 2026","passed","Sun Mar 29 17:30:33 UTC 2026","Get entity","Files","",""
"","283","Create user","LMS service","Sun Mar 29 17:30:29 UTC 2026","passed","Sun Mar 29 17:30:30 UTC 2026","Create entity","Users","",""
"","280","Login with correct email and password","LMS service","Sun Mar 29 17:30:27 UTC 2026","passed","Sun Mar 29 17:30:28 UTC 2026","Login","Authentication","",""
"","15","Delete exercise","LMS service","Sun Mar 29 17:30:44 UTC 2026","passed","Sun Mar 29 17:30:44 UTC 2026","Delete entity","Exercises","",""
"","26","Update  course","LMS service","Sun Mar 29 17:30:39 UTC 2026","passed","Sun Mar 29 17:30:39 UTC 2026","Update entity","Courses","",""
"","19","Create file","LMS service","Sun Mar 29 17:30:33 UTC 2026","passed","Sun Mar 29 17:30:33 UTC 2026","Create entity","Files","",""
"","12","Get file with incorrect file id","LMS service","Sun Mar 29 17:30:36 UTC 2026","passed","Sun Mar 29 17:30:36 UTC 2026","Validate entity","Files","",""
"","23","Create course","LMS service","Sun Mar 29 17:30:39 UTC 2026","passed","Sun Mar 29 17:30:40 UTC 2026","Create entity","Courses","",""
"","24","Get courses","LMS service","Sun Mar 29 17:30:38 UTC 2026","passed","Sun Mar 29 17:30:38 UTC 2026","GET entities","Courses","",""
"","20","Create exercise","LMS service","Sun Mar 29 17:30:42 UTC 2026","passed","Sun Mar 29 17:30:42 UTC 2026","Create entity","Exercises","",""
"","17","Delete file","LMS service","Sun Mar 29 17:30:35 UTC 2026","passed","Sun Mar 29 17:30:35 UTC 2026","Delete entity","Files","",""
"","285","Create user","LMS service","Sun Mar 29 17:30:30 UTC 2026","passed","Sun Mar 29 17:30:30 UTC 2026","Create entity","Users","",""
"","14","Get user view","LMS service","Sun Mar 29 17:30:31 UTC 2026","passed","Sun Mar 29 17:30:31 UTC 2026","Get entity","Users","",""
"","13","Create file with empty filename","LMS service","Sun Mar 29 17:30:34 UTC 2026","passed","Sun Mar 29 17:30:34 UTC 2026","Validate entity","Files","",""
"","18","Update exercise","LMS service","Sun Mar 29 17:30:43 UTC 2026","passed","Sun Mar 29 17:30:43 UTC 2026","Update entity","Exercises","",""
"","13","Create file with empty directory","LMS service","Sun Mar 29 17:30:35 UTC 2026","passed","Sun Mar 29 17:30:35 UTC 2026","Validate entity","Files","",""
