"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get user me","LMS service","Thu Mar 26 21:05:14 UTC 2026","passed","Thu Mar 26 21:05:14 UTC 2026","Create entity","Users","",""
"","286","Create user","LMS service","Thu Mar 26 21:05:13 UTC 2026","passed","Thu Mar 26 21:05:13 UTC 2026","Create entity","Users","",""
"","13","Get file with incorrect file id","LMS service","Thu Mar 26 21:05:19 UTC 2026","passed","Thu Mar 26 21:05:19 UTC 2026","Validate entity","Files","",""
"","16","Create file with empty directory","LMS service","Thu Mar 26 21:05:18 UTC 2026","passed","Thu Mar 26 21:05:18 UTC 2026","Validate entity","Files","",""
"","286","Create user","LMS service","Thu Mar 26 21:05:12 UTC 2026","passed","Thu Mar 26 21:05:13 UTC 2026","Create entity","Users","",""
"","18","Delete file","LMS service","Thu Mar 26 21:05:18 UTC 2026","passed","Thu Mar 26 21:05:18 UTC 2026","Delete entity","Files","",""
"","20","Create file","LMS service","Thu Mar 26 21:05:16 UTC 2026","passed","Thu Mar 26 21:05:16 UTC 2026","Create entity","Files","",""
"","16","Create file with empty filename","LMS service","Thu Mar 26 21:05:17 UTC 2026","passed","Thu Mar 26 21:05:17 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Mar 26 21:05:17 UTC 2026","passed","Thu Mar 26 21:05:17 UTC 2026","Get entity","Files","",""
"","283","Login with correct email and password","LMS service","Thu Mar 26 21:05:10 UTC 2026","passed","Thu Mar 26 21:05:10 UTC 2026","Login","Authentication","",""
"","290","Create user","LMS service","Thu Mar 26 21:05:12 UTC 2026","passed","Thu Mar 26 21:05:12 UTC 2026","Create entity","Users","",""
