"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","323","Create user","LMS service","Wed May 06 13:34:41 UTC 2026","passed","Wed May 06 13:34:41 UTC 2026","Create entity","Users","",""
"","13","Get exercise","LMS service","Wed May 06 13:35:00 UTC 2026","passed","Wed May 06 13:35:00 UTC 2026","Get entity","Exercises","",""
"","14","Get exercises","LMS service","Wed May 06 13:35:02 UTC 2026","passed","Wed May 06 13:35:02 UTC 2026","GET entities","Exercises","",""
"","12","Get file with incorrect file id","LMS service","Wed May 06 13:34:51 UTC 2026","passed","Wed May 06 13:34:51 UTC 2026","Validate entity","Files","",""
"","321","Refresh Token","LMS service","Wed May 06 13:34:39 UTC 2026","passed","Wed May 06 13:34:39 UTC 2026","Refresh","Authentication","",""
"","18","Delete file","LMS service","Wed May 06 13:34:51 UTC 2026","passed","Wed May 06 13:34:51 UTC 2026","Delete entity","Files","",""
"","319","Create user","LMS service","Wed May 06 13:34:41 UTC 2026","passed","Wed May 06 13:34:42 UTC 2026","Create entity","Users","",""
"","13","Get user with incorrect user id","LMS service","Wed May 06 13:34:44 UTC 2026","passed","Wed May 06 13:34:44 UTC 2026","Validate entity","Users","",""
"","19","Update user view","LMS service","Wed May 06 13:34:45 UTC 2026","passed","Wed May 06 13:34:45 UTC 2026","Update entity","Users","",""
"","319","Create user","LMS service","Wed May 06 13:34:42 UTC 2026","passed","Wed May 06 13:34:42 UTC 2026","Create entity","Users","",""
"","18","Update exercise","LMS service","Wed May 06 13:35:01 UTC 2026","passed","Wed May 06 13:35:01 UTC 2026","Update entity","Exercises","",""
"","23","Get courses","LMS service","Wed May 06 13:34:54 UTC 2026","passed","Wed May 06 13:34:54 UTC 2026","GET entities","Courses","",""
"","15","Create file with empty directory","LMS service","Wed May 06 13:34:50 UTC 2026","passed","Wed May 06 13:34:50 UTC 2026","Validate entity","Files","",""
"","21","Create exercise","LMS service","Wed May 06 13:34:59 UTC 2026","passed","Wed May 06 13:34:59 UTC 2026","Create entity","Exercises","",""
"","11","Get file","LMS service","Wed May 06 13:34:49 UTC 2026","passed","Wed May 06 13:34:49 UTC 2026","Get entity","Files","",""
"","15","Delete exercise","LMS service","Wed May 06 13:35:01 UTC 2026","passed","Wed May 06 13:35:01 UTC 2026","Delete entity","Exercises","",""
"","26","Update  course","LMS service","Wed May 06 13:34:54 UTC 2026","passed","Wed May 06 13:34:54 UTC 2026","Update entity","Courses","",""
"","14","Get user view","LMS service","Wed May 06 13:34:43 UTC 2026","passed","Wed May 06 13:34:43 UTC 2026","Get entity","Users","",""
"","20","Create file","LMS service","Wed May 06 13:34:48 UTC 2026","passed","Wed May 06 13:34:48 UTC 2026","Create entity","Files","",""
"","23","Get course","LMS service","Wed May 06 13:34:56 UTC 2026","passed","Wed May 06 13:34:56 UTC 2026","Get entity","Courses","",""
"","317","Login with correct email and password","LMS service","Wed May 06 13:34:38 UTC 2026","passed","Wed May 06 13:34:39 UTC 2026","Login","Authentication","",""
"","15","Delete user view","LMS service","Wed May 06 13:34:46 UTC 2026","passed","Wed May 06 13:34:46 UTC 2026","Delete entity","Users","",""
"","27","Delete course","LMS service","Wed May 06 13:34:57 UTC 2026","passed","Wed May 06 13:34:57 UTC 2026","Delete entity","Courses","",""
"","14","Get user me","LMS service","Wed May 06 13:34:43 UTC 2026","passed","Wed May 06 13:34:43 UTC 2026","Create entity","Users","",""
"","16","Create file with empty filename","LMS service","Wed May 06 13:34:49 UTC 2026","passed","Wed May 06 13:34:49 UTC 2026","Validate entity","Files","",""
"","24","Create course","LMS service","Wed May 06 13:34:55 UTC 2026","passed","Wed May 06 13:34:55 UTC 2026","Create entity","Courses","",""
