"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","Create user","LMS service","Thu Mar 26 21:01:21 UTC 2026","passed","Thu Mar 26 21:01:22 UTC 2026","Create entity","Users","",""
"","280","Login with correct email and password","LMS service","Thu Mar 26 21:01:19 UTC 2026","passed","Thu Mar 26 21:01:19 UTC 2026","Login","Authentication","",""
"","289","Create user","LMS service","Thu Mar 26 21:01:21 UTC 2026","passed","Thu Mar 26 21:01:21 UTC 2026","Create entity","Users","",""
"","282","Create user","LMS service","Thu Mar 26 21:01:21 UTC 2026","passed","Thu Mar 26 21:01:21 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Thu Mar 26 21:01:22 UTC 2026","passed","Thu Mar 26 21:01:22 UTC 2026","Create entity","Users","",""
