"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Delete course","LMS service","Thu Apr 30 17:13:45 UTC 2026","passed","Thu Apr 30 17:13:45 UTC 2026","Delete entity","Courses","",""
"","289","Create user","LMS service","Thu Apr 30 17:13:32 UTC 2026","passed","Thu Apr 30 17:13:32 UTC 2026","Create entity","Users","",""
"","284","Login with correct email and password","LMS service","Thu Apr 30 17:13:29 UTC 2026","passed","Thu Apr 30 17:13:29 UTC 2026","Login","Authentication","",""
"","27","Create course","LMS service","Thu Apr 30 17:13:44 UTC 2026","passed","Thu Apr 30 17:13:44 UTC 2026","Create entity","Courses","",""
"","23","Get course","LMS service","Thu Apr 30 17:13:44 UTC 2026","passed","Thu Apr 30 17:13:44 UTC 2026","Get entity","Courses","",""
"","27","Update  course","LMS service","Thu Apr 30 17:13:43 UTC 2026","passed","Thu Apr 30 17:13:43 UTC 2026","Update entity","Courses","",""
"","287","Create user","LMS service","Thu Apr 30 17:13:32 UTC 2026","passed","Thu Apr 30 17:13:32 UTC 2026","Create entity","Users","",""
"","16","Get exercises","LMS service","Thu Apr 30 17:13:50 UTC 2026","passed","Thu Apr 30 17:13:50 UTC 2026","GET entities","Exercises","",""
"","14","Get file","LMS service","Thu Apr 30 17:13:37 UTC 2026","passed","Thu Apr 30 17:13:37 UTC 2026","Get entity","Files","",""
"","16","Delete exercise","LMS service","Thu Apr 30 17:13:49 UTC 2026","passed","Thu Apr 30 17:13:49 UTC 2026","Delete entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Thu Apr 30 17:13:40 UTC 2026","passed","Thu Apr 30 17:13:40 UTC 2026","Validate entity","Files","",""
"","19","Update exercise","LMS service","Thu Apr 30 17:13:49 UTC 2026","passed","Thu Apr 30 17:13:49 UTC 2026","Update entity","Exercises","",""
"","17","Create file with empty filename","LMS service","Thu Apr 30 17:13:38 UTC 2026","passed","Thu Apr 30 17:13:38 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Thu Apr 30 17:13:39 UTC 2026","passed","Thu Apr 30 17:13:39 UTC 2026","Delete entity","Files","",""
"","27","Get courses","LMS service","Thu Apr 30 17:13:42 UTC 2026","passed","Thu Apr 30 17:13:42 UTC 2026","GET entities","Courses","",""
"","17","Create file with empty directory","LMS service","Thu Apr 30 17:13:39 UTC 2026","passed","Thu Apr 30 17:13:39 UTC 2026","Validate entity","Files","",""
"","21","Create exercise","LMS service","Thu Apr 30 17:13:47 UTC 2026","passed","Thu Apr 30 17:13:47 UTC 2026","Create entity","Exercises","",""
"","291","Create user","LMS service","Thu Apr 30 17:13:31 UTC 2026","passed","Thu Apr 30 17:13:32 UTC 2026","Create entity","Users","",""
"","288","Refresh Token","LMS service","Thu Apr 30 17:13:29 UTC 2026","passed","Thu Apr 30 17:13:30 UTC 2026","Refresh","Authentication","",""
"","21","Create file","LMS service","Thu Apr 30 17:13:37 UTC 2026","passed","Thu Apr 30 17:13:37 UTC 2026","Create entity","Files","",""
"","16","Get exercise","LMS service","Thu Apr 30 17:13:48 UTC 2026","passed","Thu Apr 30 17:13:48 UTC 2026","Get entity","Exercises","",""
"","13","Get user me","LMS service","Thu Apr 30 17:13:33 UTC 2026","passed","Thu Apr 30 17:13:33 UTC 2026","Create entity","Users","",""
"","15","Get user view","LMS service","Thu Apr 30 17:13:34 UTC 2026","passed","Thu Apr 30 17:13:34 UTC 2026","Get entity","Users","",""
"","14","Get user with incorrect user id","LMS service","Thu Apr 30 17:13:34 UTC 2026","passed","Thu Apr 30 17:13:34 UTC 2026","Validate entity","Users","",""
