"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create file","LMS service","Sat Apr 04 13:08:41 UTC 2026","passed","Sat Apr 04 13:08:41 UTC 2026","Create entity","Files","",""
"","292","Create user","LMS service","Sat Apr 04 13:08:36 UTC 2026","passed","Sat Apr 04 13:08:36 UTC 2026","Create entity","Users","",""
"","13","Get user view","LMS service","Sat Apr 04 13:08:38 UTC 2026","passed","Sat Apr 04 13:08:38 UTC 2026","Get entity","Users","",""
"","284","Login with correct email and password","LMS service","Sat Apr 04 13:08:34 UTC 2026","passed","Sat Apr 04 13:08:34 UTC 2026","Login","Authentication","",""
"","14","Get file with incorrect file id","LMS service","Sat Apr 04 13:08:44 UTC 2026","passed","Sat Apr 04 13:08:44 UTC 2026","Validate entity","Files","",""
"","21","Update exercise","LMS service","Sat Apr 04 13:08:52 UTC 2026","passed","Sat Apr 04 13:08:52 UTC 2026","Update entity","Exercises","",""
"","22","Delete exercise","LMS service","Sat Apr 04 13:08:53 UTC 2026","passed","Sat Apr 04 13:08:53 UTC 2026","Delete entity","Exercises","",""
"","29","Update  course","LMS service","Sat Apr 04 13:08:47 UTC 2026","passed","Sat Apr 04 13:08:48 UTC 2026","Update entity","Courses","",""
"","16","Create file with empty directory","LMS service","Sat Apr 04 13:08:43 UTC 2026","passed","Sat Apr 04 13:08:43 UTC 2026","Validate entity","Files","",""
"","27","Get courses","LMS service","Sat Apr 04 13:08:47 UTC 2026","passed","Sat Apr 04 13:08:47 UTC 2026","GET entities","Courses","",""
"","27","Create course","LMS service","Sat Apr 04 13:08:48 UTC 2026","passed","Sat Apr 04 13:08:48 UTC 2026","Create entity","Courses","",""
"","21","Create exercise","LMS service","Sat Apr 04 13:08:51 UTC 2026","passed","Sat Apr 04 13:08:51 UTC 2026","Create entity","Exercises","",""
"","15","Get user me","LMS service","Sat Apr 04 13:08:37 UTC 2026","passed","Sat Apr 04 13:08:37 UTC 2026","Create entity","Users","",""
"","16","Create file with empty filename","LMS service","Sat Apr 04 13:08:42 UTC 2026","passed","Sat Apr 04 13:08:42 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Sat Apr 04 13:08:42 UTC 2026","passed","Sat Apr 04 13:08:42 UTC 2026","Get entity","Files","",""
"","18","Get exercises","LMS service","Sat Apr 04 13:08:53 UTC 2026","passed","Sat Apr 04 13:08:53 UTC 2026","GET entities","Exercises","",""
"","16","Get exercise","LMS service","Sat Apr 04 13:08:51 UTC 2026","passed","Sat Apr 04 13:08:51 UTC 2026","Get entity","Exercises","",""
"","15","Get user with incorrect user id","LMS service","Sat Apr 04 13:08:39 UTC 2026","passed","Sat Apr 04 13:08:39 UTC 2026","Validate entity","Users","",""
"","286","Create user","LMS service","Sat Apr 04 13:08:37 UTC 2026","passed","Sat Apr 04 13:08:37 UTC 2026","Create entity","Users","",""
"","27","Delete file","LMS service","Sat Apr 04 13:08:44 UTC 2026","passed","Sat Apr 04 13:08:44 UTC 2026","Delete entity","Files","",""
"","286","Create user","LMS service","Sat Apr 04 13:08:36 UTC 2026","passed","Sat Apr 04 13:08:36 UTC 2026","Create entity","Users","",""
