"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Update  course","LMS service","Fri Apr 10 17:30:20 UTC 2026","passed","Fri Apr 10 17:30:20 UTC 2026","Update entity","Courses","",""
"","276","Create user","LMS service","Fri Apr 10 17:30:10 UTC 2026","passed","Fri Apr 10 17:30:10 UTC 2026","Create entity","Users","",""
"","14","Create file with empty filename","LMS service","Fri Apr 10 17:30:16 UTC 2026","passed","Fri Apr 10 17:30:16 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Fri Apr 10 17:30:11 UTC 2026","passed","Fri Apr 10 17:30:11 UTC 2026","Create entity","Users","",""
"","269","Create user","LMS service","Fri Apr 10 17:30:10 UTC 2026","passed","Fri Apr 10 17:30:10 UTC 2026","Create entity","Users","",""
"","270","Create user","LMS service","Fri Apr 10 17:30:10 UTC 2026","passed","Fri Apr 10 17:30:11 UTC 2026","Create entity","Users","",""
"","22","Get course","LMS service","Fri Apr 10 17:30:21 UTC 2026","passed","Fri Apr 10 17:30:21 UTC 2026","Get entity","Courses","",""
"","24","Create course","LMS service","Fri Apr 10 17:30:21 UTC 2026","passed","Fri Apr 10 17:30:21 UTC 2026","Create entity","Courses","",""
"","12","Get file with incorrect file id","LMS service","Fri Apr 10 17:30:17 UTC 2026","passed","Fri Apr 10 17:30:18 UTC 2026","Validate entity","Files","",""
"","11","Get file","LMS service","Fri Apr 10 17:30:15 UTC 2026","passed","Fri Apr 10 17:30:15 UTC 2026","Get entity","Files","",""
"","14","Get exercises","LMS service","Fri Apr 10 17:30:26 UTC 2026","passed","Fri Apr 10 17:30:26 UTC 2026","GET entities","Exercises","",""
"","19","Create file","LMS service","Fri Apr 10 17:30:14 UTC 2026","passed","Fri Apr 10 17:30:14 UTC 2026","Create entity","Files","",""
"","18","Create exercise","LMS service","Fri Apr 10 17:30:24 UTC 2026","passed","Fri Apr 10 17:30:24 UTC 2026","Create entity","Exercises","",""
"","14","Delete exercise","LMS service","Fri Apr 10 17:30:25 UTC 2026","passed","Fri Apr 10 17:30:25 UTC 2026","Delete entity","Exercises","",""
"","11","Get user view","LMS service","Fri Apr 10 17:30:12 UTC 2026","passed","Fri Apr 10 17:30:12 UTC 2026","Get entity","Users","",""
"","13","Get exercise","LMS service","Fri Apr 10 17:30:24 UTC 2026","passed","Fri Apr 10 17:30:24 UTC 2026","Get entity","Exercises","",""
"","22","Get courses","LMS service","Fri Apr 10 17:30:20 UTC 2026","passed","Fri Apr 10 17:30:20 UTC 2026","GET entities","Courses","",""
"","17","Delete file","LMS service","Fri Apr 10 17:30:17 UTC 2026","passed","Fri Apr 10 17:30:17 UTC 2026","Delete entity","Files","",""
"","13","Create file with empty directory","LMS service","Fri Apr 10 17:30:16 UTC 2026","passed","Fri Apr 10 17:30:16 UTC 2026","Validate entity","Files","",""
"","18","Update exercise","LMS service","Fri Apr 10 17:30:25 UTC 2026","passed","Fri Apr 10 17:30:25 UTC 2026","Update entity","Exercises","",""
"","267","Login with correct email and password","LMS service","Fri Apr 10 17:30:08 UTC 2026","passed","Fri Apr 10 17:30:08 UTC 2026","Login","Authentication","",""
"","11","Get user with incorrect user id","LMS service","Fri Apr 10 17:30:12 UTC 2026","passed","Fri Apr 10 17:30:12 UTC 2026","Validate entity","Users","",""
