"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get exercise","LMS service","Thu Apr 30 18:47:16 UTC 2026","passed","Thu Apr 30 18:47:16 UTC 2026","Get entity","Exercises","",""
"","17","Delete file","LMS service","Thu Apr 30 18:47:08 UTC 2026","passed","Thu Apr 30 18:47:08 UTC 2026","Delete entity","Files","",""
"","12","Get user with incorrect user id","LMS service","Thu Apr 30 18:47:03 UTC 2026","passed","Thu Apr 30 18:47:03 UTC 2026","Validate entity","Users","",""
"","15","Create file with empty filename","LMS service","Thu Apr 30 18:47:07 UTC 2026","passed","Thu Apr 30 18:47:07 UTC 2026","Validate entity","Files","",""
"","27","Update  course","LMS service","Thu Apr 30 18:47:12 UTC 2026","passed","Thu Apr 30 18:47:12 UTC 2026","Update entity","Courses","",""
"","19","Update exercise","LMS service","Thu Apr 30 18:47:17 UTC 2026","passed","Thu Apr 30 18:47:17 UTC 2026","Update entity","Exercises","",""
"","25","Create course","LMS service","Thu Apr 30 18:47:12 UTC 2026","passed","Thu Apr 30 18:47:12 UTC 2026","Create entity","Courses","",""
"","26","Get course","LMS service","Thu Apr 30 18:47:13 UTC 2026","passed","Thu Apr 30 18:47:13 UTC 2026","Get entity","Courses","",""
"","21","Create file","LMS service","Thu Apr 30 18:47:05 UTC 2026","passed","Thu Apr 30 18:47:06 UTC 2026","Create entity","Files","",""
"","284","Create user","LMS service","Thu Apr 30 18:47:00 UTC 2026","passed","Thu Apr 30 18:47:01 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Thu Apr 30 18:47:18 UTC 2026","passed","Thu Apr 30 18:47:18 UTC 2026","Delete entity","Exercises","",""
"","19","Create exercise","LMS service","Thu Apr 30 18:47:16 UTC 2026","passed","Thu Apr 30 18:47:16 UTC 2026","Create entity","Exercises","",""
"","282","Login with correct email and password","LMS service","Thu Apr 30 18:46:57 UTC 2026","passed","Thu Apr 30 18:46:58 UTC 2026","Login","Authentication","",""
"","16","Get exercises","LMS service","Thu Apr 30 18:47:18 UTC 2026","passed","Thu Apr 30 18:47:18 UTC 2026","GET entities","Exercises","",""
"","12","Get user view","LMS service","Thu Apr 30 18:47:02 UTC 2026","passed","Thu Apr 30 18:47:02 UTC 2026","Get entity","Users","",""
"","28","Delete course","LMS service","Thu Apr 30 18:47:13 UTC 2026","passed","Thu Apr 30 18:47:14 UTC 2026","Delete entity","Courses","",""
"","12","Get file with incorrect file id","LMS service","Thu Apr 30 18:47:09 UTC 2026","passed","Thu Apr 30 18:47:09 UTC 2026","Validate entity","Files","",""
"","26","Get courses","LMS service","Thu Apr 30 18:47:11 UTC 2026","passed","Thu Apr 30 18:47:11 UTC 2026","GET entities","Courses","",""
"","283","Refresh Token","LMS service","Thu Apr 30 18:46:58 UTC 2026","passed","Thu Apr 30 18:46:58 UTC 2026","Refresh","Authentication","",""
"","14","Create file with empty directory","LMS service","Thu Apr 30 18:47:07 UTC 2026","passed","Thu Apr 30 18:47:07 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Thu Apr 30 18:47:06 UTC 2026","passed","Thu Apr 30 18:47:06 UTC 2026","Get entity","Files","",""
"","288","Create user","LMS service","Thu Apr 30 18:47:00 UTC 2026","passed","Thu Apr 30 18:47:00 UTC 2026","Create entity","Users","",""
"","20","Update user view","LMS service","Thu Apr 30 18:47:03 UTC 2026","passed","Thu Apr 30 18:47:03 UTC 2026","Update entity","Users","",""
"","12","Get user me","LMS service","Thu Apr 30 18:47:01 UTC 2026","passed","Thu Apr 30 18:47:01 UTC 2026","Create entity","Users","",""
"","285","Create user","LMS service","Thu Apr 30 18:47:01 UTC 2026","passed","Thu Apr 30 18:47:01 UTC 2026","Create entity","Users","",""
