"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Create user","LMS service","Thu Mar 26 21:18:41 UTC 2026","passed","Thu Mar 26 21:18:41 UTC 2026","Create entity","Users","",""
"","15","Get exercise","LMS service","Thu Mar 26 21:18:54 UTC 2026","passed","Thu Mar 26 21:18:54 UTC 2026","Get entity","Exercises","",""
"","20","Create exercise","LMS service","Thu Mar 26 21:18:53 UTC 2026","passed","Thu Mar 26 21:18:53 UTC 2026","Create entity","Exercises","",""
"","291","Create user","LMS service","Thu Mar 26 21:18:41 UTC 2026","passed","Thu Mar 26 21:18:41 UTC 2026","Create entity","Users","",""
"","282","Login with correct email and password","LMS service","Thu Mar 26 21:18:39 UTC 2026","passed","Thu Mar 26 21:18:39 UTC 2026","Login","Authentication","",""
"","284","Create user","LMS service","Thu Mar 26 21:18:41 UTC 2026","passed","Thu Mar 26 21:18:41 UTC 2026","Create entity","Users","",""
"","18","Delete file","LMS service","Thu Mar 26 21:18:47 UTC 2026","passed","Thu Mar 26 21:18:47 UTC 2026","Delete entity","Files","",""
"","18","Update exercise","LMS service","Thu Mar 26 21:18:55 UTC 2026","passed","Thu Mar 26 21:18:55 UTC 2026","Update entity","Exercises","",""
"","15","Create file with empty filename","LMS service","Thu Mar 26 21:18:46 UTC 2026","passed","Thu Mar 26 21:18:46 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Mar 26 21:18:45 UTC 2026","passed","Thu Mar 26 21:18:45 UTC 2026","Get entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Thu Mar 26 21:18:48 UTC 2026","passed","Thu Mar 26 21:18:48 UTC 2026","Validate entity","Files","",""
"","25","Update  course","LMS service","Thu Mar 26 21:18:50 UTC 2026","passed","Thu Mar 26 21:18:50 UTC 2026","Update entity","Courses","",""
"","14","Create file with empty directory","LMS service","Thu Mar 26 21:18:46 UTC 2026","passed","Thu Mar 26 21:18:46 UTC 2026","Validate entity","Files","",""
"","25","Get courses","LMS service","Thu Mar 26 21:18:50 UTC 2026","passed","Thu Mar 26 21:18:50 UTC 2026","GET entities","Courses","",""
"","24","Create course","LMS service","Thu Mar 26 21:18:51 UTC 2026","passed","Thu Mar 26 21:18:51 UTC 2026","Create entity","Courses","",""
"","16","Delete exercise","LMS service","Thu Mar 26 21:18:55 UTC 2026","passed","Thu Mar 26 21:18:55 UTC 2026","Delete entity","Exercises","",""
"","20","Create file","LMS service","Thu Mar 26 21:18:44 UTC 2026","passed","Thu Mar 26 21:18:44 UTC 2026","Create entity","Files","",""
"","16","Get exercises","LMS service","Thu Mar 26 21:18:56 UTC 2026","passed","Thu Mar 26 21:18:56 UTC 2026","GET entities","Exercises","",""
"","14","Get user me","LMS service","Thu Mar 26 21:18:42 UTC 2026","passed","Thu Mar 26 21:18:42 UTC 2026","Create entity","Users","",""
