"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create exercise","LMS service","Thu Mar 26 21:12:05 UTC 2026","passed","Thu Mar 26 21:12:05 UTC 2026","Create entity","Exercises","",""
"","15","Delete exercise","LMS service","Thu Mar 26 21:12:07 UTC 2026","passed","Thu Mar 26 21:12:07 UTC 2026","Delete entity","Exercises","",""
"","290","Create user","LMS service","Thu Mar 26 21:11:52 UTC 2026","passed","Thu Mar 26 21:11:52 UTC 2026","Create entity","Users","",""
"","25","Create course","LMS service","Thu Mar 26 21:12:03 UTC 2026","passed","Thu Mar 26 21:12:03 UTC 2026","Create entity","Courses","",""
"","12","Get file","LMS service","Thu Mar 26 21:11:56 UTC 2026","passed","Thu Mar 26 21:11:56 UTC 2026","Get entity","Files","",""
"","15","Create file with empty filename","LMS service","Thu Mar 26 21:11:57 UTC 2026","passed","Thu Mar 26 21:11:57 UTC 2026","Validate entity","Files","",""
"","17","Delete file","LMS service","Thu Mar 26 21:11:58 UTC 2026","passed","Thu Mar 26 21:11:58 UTC 2026","Delete entity","Files","",""
"","285","Create user","LMS service","Thu Mar 26 21:11:53 UTC 2026","passed","Thu Mar 26 21:11:53 UTC 2026","Create entity","Users","",""
"","18","Update exercise","LMS service","Thu Mar 26 21:12:06 UTC 2026","passed","Thu Mar 26 21:12:06 UTC 2026","Update entity","Exercises","",""
"","20","Create file","LMS service","Thu Mar 26 21:11:56 UTC 2026","passed","Thu Mar 26 21:11:56 UTC 2026","Create entity","Files","",""
"","15","Get exercise","LMS service","Thu Mar 26 21:12:05 UTC 2026","passed","Thu Mar 26 21:12:05 UTC 2026","Get entity","Exercises","",""
"","281","Login with correct email and password","LMS service","Thu Mar 26 21:11:50 UTC 2026","passed","Thu Mar 26 21:11:50 UTC 2026","Login","Authentication","",""
"","26","Update  course","LMS service","Thu Mar 26 21:12:02 UTC 2026","passed","Thu Mar 26 21:12:02 UTC 2026","Update entity","Courses","",""
"","23","Get courses","LMS service","Thu Mar 26 21:12:01 UTC 2026","passed","Thu Mar 26 21:12:01 UTC 2026","GET entities","Courses","",""
"","15","Create file with empty directory","LMS service","Thu Mar 26 21:11:58 UTC 2026","passed","Thu Mar 26 21:11:58 UTC 2026","Validate entity","Files","",""
"","14","Get user me","LMS service","Thu Mar 26 21:11:54 UTC 2026","passed","Thu Mar 26 21:11:54 UTC 2026","Create entity","Users","",""
"","15","Get exercises","LMS service","Thu Mar 26 21:12:07 UTC 2026","passed","Thu Mar 26 21:12:07 UTC 2026","GET entities","Exercises","",""
"","288","Create user","LMS service","Thu Mar 26 21:11:52 UTC 2026","passed","Thu Mar 26 21:11:53 UTC 2026","Create entity","Users","",""
"","13","Get file with incorrect file id","LMS service","Thu Mar 26 21:11:59 UTC 2026","passed","Thu Mar 26 21:11:59 UTC 2026","Validate entity","Files","",""
