"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create exercise","LMS service","Sun Mar 08 09:41:05 UTC 2026","passed","Sun Mar 08 09:41:05 UTC 2026","Create entity","Exercises","",""
"","11","Get file","LMS service","Sun Mar 08 09:41:09 UTC 2026","passed","Sun Mar 08 09:41:09 UTC 2026","Get entity","Files","",""
"","500","Create user","LMS service","Sun Mar 08 09:41:11 UTC 2026","passed","Sun Mar 08 09:41:12 UTC 2026","Create entity","Users","",""
"","32","Update course","LMS service","Sun Mar 08 09:41:04 UTC 2026","passed","Sun Mar 08 09:41:04 UTC 2026","Update entity","Courses","",""
"","16","Get file with incorrect file id","LMS service","Sun Mar 08 09:41:11 UTC 2026","passed","Sun Mar 08 09:41:11 UTC 2026","Validate entity","Files","",""
"","275","Delete exercise","LMS service","Sun Mar 08 09:41:07 UTC 2026","passed","Sun Mar 08 09:41:07 UTC 2026","Delete entity","Exercises","",""
"","251","Create file","LMS service","Sun Mar 08 09:41:08 UTC 2026","passed","Sun Mar 08 09:41:08 UTC 2026","Create entity","Files","",""
"","506","Create user","LMS service","Sun Mar 08 09:41:11 UTC 2026","passed","Sun Mar 08 09:41:12 UTC 2026","Create entity","Users","",""
"","15","Get exercises","LMS service","Sun Mar 08 09:41:08 UTC 2026","passed","Sun Mar 08 09:41:08 UTC 2026","GET entities","Exercises","",""
"","20","Delete file","LMS service","Sun Mar 08 09:41:11 UTC 2026","passed","Sun Mar 08 09:41:11 UTC 2026","Delete entity","Files","",""
"","526","Login with correct email and password","LMS service","Sun Mar 08 09:41:03 UTC 2026","passed","Sun Mar 08 09:41:03 UTC 2026","Login","Authentication","",""
"","33","Create course","LMS service","Sun Mar 08 09:41:05 UTC 2026","passed","Sun Mar 08 09:41:05 UTC 2026","Create entity","Courses","",""
"","13","Get user me","LMS service","Sun Mar 08 09:41:12 UTC 2026","passed","Sun Mar 08 09:41:12 UTC 2026","Create entity","Users","",""
"","277","Update exercise","LMS service","Sun Mar 08 09:41:06 UTC 2026","passed","Sun Mar 08 09:41:06 UTC 2026","Update entity","Exercises","",""
"","23","Get courses","LMS service","Sun Mar 08 09:41:04 UTC 2026","passed","Sun Mar 08 09:41:04 UTC 2026","GET entities","Courses","",""
"","254","Create file with empty directory","LMS service","Sun Mar 08 09:41:10 UTC 2026","passed","Sun Mar 08 09:41:10 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Sun Mar 08 09:41:06 UTC 2026","passed","Sun Mar 08 09:41:06 UTC 2026","Get entity","Exercises","",""
"","275","Create user","LMS service","Sun Mar 08 09:41:11 UTC 2026","passed","Sun Mar 08 09:41:11 UTC 2026","Create entity","Users","",""
"","250","Create file with empty filename","LMS service","Sun Mar 08 09:41:09 UTC 2026","passed","Sun Mar 08 09:41:09 UTC 2026","Validate entity","Files","",""
