"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Update exercise","LMS service","Tue Apr 21 19:48:30 UTC 2026","passed","Tue Apr 21 19:48:30 UTC 2026","Update entity","Exercises","",""
"","283","Create user","LMS service","Tue Apr 21 19:48:15 UTC 2026","passed","Tue Apr 21 19:48:15 UTC 2026","Create entity","Users","",""
"","15","Get exercises","LMS service","Tue Apr 21 19:48:32 UTC 2026","passed","Tue Apr 21 19:48:32 UTC 2026","GET entities","Exercises","",""
"","24","Get courses","LMS service","Tue Apr 21 19:48:25 UTC 2026","passed","Tue Apr 21 19:48:25 UTC 2026","GET entities","Courses","",""
"","12","Get user view","LMS service","Tue Apr 21 19:48:17 UTC 2026","passed","Tue Apr 21 19:48:17 UTC 2026","Get entity","Users","",""
"","14","Create file with empty filename","LMS service","Tue Apr 21 19:48:21 UTC 2026","passed","Tue Apr 21 19:48:21 UTC 2026","Validate entity","Files","",""
"","288","Create user","LMS service","Tue Apr 21 19:48:15 UTC 2026","passed","Tue Apr 21 19:48:15 UTC 2026","Create entity","Users","",""
"","26","Create course","LMS service","Tue Apr 21 19:48:26 UTC 2026","passed","Tue Apr 21 19:48:26 UTC 2026","Create entity","Courses","",""
"","282","Refresh Token","LMS service","Tue Apr 21 19:48:13 UTC 2026","passed","Tue Apr 21 19:48:13 UTC 2026","Refresh","Authentication","",""
"","19","Create exercise","LMS service","Tue Apr 21 19:48:29 UTC 2026","passed","Tue Apr 21 19:48:29 UTC 2026","Create entity","Exercises","",""
"","284","Create user","LMS service","Tue Apr 21 19:48:15 UTC 2026","passed","Tue Apr 21 19:48:15 UTC 2026","Create entity","Users","",""
"","280","Login with correct email and password","LMS service","Tue Apr 21 19:48:12 UTC 2026","passed","Tue Apr 21 19:48:12 UTC 2026","Login","Authentication","",""
"","13","Get user me","LMS service","Tue Apr 21 19:48:16 UTC 2026","passed","Tue Apr 21 19:48:16 UTC 2026","Create entity","Users","",""
"","12","Get file with incorrect file id","LMS service","Tue Apr 21 19:48:23 UTC 2026","passed","Tue Apr 21 19:48:23 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Tue Apr 21 19:48:30 UTC 2026","passed","Tue Apr 21 19:48:30 UTC 2026","Get entity","Exercises","",""
"","13","Create file with empty directory","LMS service","Tue Apr 21 19:48:21 UTC 2026","passed","Tue Apr 21 19:48:21 UTC 2026","Validate entity","Files","",""
"","19","Create file","LMS service","Tue Apr 21 19:48:19 UTC 2026","passed","Tue Apr 21 19:48:20 UTC 2026","Create entity","Files","",""
"","12","Get file","LMS service","Tue Apr 21 19:48:20 UTC 2026","passed","Tue Apr 21 19:48:20 UTC 2026","Get entity","Files","",""
"","14","Delete exercise","LMS service","Tue Apr 21 19:48:31 UTC 2026","passed","Tue Apr 21 19:48:31 UTC 2026","Delete entity","Exercises","",""
"","18","Delete file","LMS service","Tue Apr 21 19:48:22 UTC 2026","passed","Tue Apr 21 19:48:22 UTC 2026","Delete entity","Files","",""
"","23","Get course","LMS service","Tue Apr 21 19:48:27 UTC 2026","passed","Tue Apr 21 19:48:27 UTC 2026","Get entity","Courses","",""
"","25","Update  course","LMS service","Tue Apr 21 19:48:26 UTC 2026","passed","Tue Apr 21 19:48:26 UTC 2026","Update entity","Courses","",""
"","13","Get user with incorrect user id","LMS service","Tue Apr 21 19:48:17 UTC 2026","passed","Tue Apr 21 19:48:17 UTC 2026","Validate entity","Users","",""
