"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create course","LMS service","Tue Apr 28 19:52:04 UTC 2026","passed","Tue Apr 28 19:52:04 UTC 2026","Create entity","Courses","",""
"","286","Create user","LMS service","Tue Apr 28 19:51:53 UTC 2026","passed","Tue Apr 28 19:51:53 UTC 2026","Create entity","Users","",""
"","16","Create file with empty directory","LMS service","Tue Apr 28 19:51:59 UTC 2026","passed","Tue Apr 28 19:51:59 UTC 2026","Validate entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Tue Apr 28 19:52:01 UTC 2026","passed","Tue Apr 28 19:52:01 UTC 2026","Validate entity","Files","",""
"","290","Create user","LMS service","Tue Apr 28 19:51:53 UTC 2026","passed","Tue Apr 28 19:51:53 UTC 2026","Create entity","Users","",""
"","18","Delete file","LMS service","Tue Apr 28 19:52:00 UTC 2026","passed","Tue Apr 28 19:52:00 UTC 2026","Delete entity","Files","",""
"","13","Get user view","LMS service","Tue Apr 28 19:51:55 UTC 2026","passed","Tue Apr 28 19:51:55 UTC 2026","Get entity","Users","",""
"","29","Update  course","LMS service","Tue Apr 28 19:52:04 UTC 2026","passed","Tue Apr 28 19:52:04 UTC 2026","Update entity","Courses","",""
"","21","Create exercise","LMS service","Tue Apr 28 19:52:08 UTC 2026","passed","Tue Apr 28 19:52:08 UTC 2026","Create entity","Exercises","",""
"","14","Get file","LMS service","Tue Apr 28 19:51:58 UTC 2026","passed","Tue Apr 28 19:51:58 UTC 2026","Get entity","Files","",""
"","282","Login with correct email and password","LMS service","Tue Apr 28 19:51:50 UTC 2026","passed","Tue Apr 28 19:51:50 UTC 2026","Login","Authentication","",""
"","16","Create file with empty filename","LMS service","Tue Apr 28 19:51:59 UTC 2026","passed","Tue Apr 28 19:51:59 UTC 2026","Validate entity","Files","",""
"","13","Get user with incorrect user id","LMS service","Tue Apr 28 19:51:55 UTC 2026","passed","Tue Apr 28 19:51:55 UTC 2026","Validate entity","Users","",""
"","26","Get courses","LMS service","Tue Apr 28 19:52:03 UTC 2026","passed","Tue Apr 28 19:52:03 UTC 2026","GET entities","Courses","",""
"","19","Update exercise","LMS service","Tue Apr 28 19:52:09 UTC 2026","passed","Tue Apr 28 19:52:09 UTC 2026","Update entity","Exercises","",""
"","285","Create user","LMS service","Tue Apr 28 19:51:53 UTC 2026","passed","Tue Apr 28 19:51:53 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Tue Apr 28 19:52:11 UTC 2026","passed","Tue Apr 28 19:52:11 UTC 2026","GET entities","Exercises","",""
"","17","Delete exercise","LMS service","Tue Apr 28 19:52:10 UTC 2026","passed","Tue Apr 28 19:52:10 UTC 2026","Delete entity","Exercises","",""
"","21","Create file","LMS service","Tue Apr 28 19:51:58 UTC 2026","passed","Tue Apr 28 19:51:58 UTC 2026","Create entity","Files","",""
"","14","Get user me","LMS service","Tue Apr 28 19:51:54 UTC 2026","passed","Tue Apr 28 19:51:54 UTC 2026","Create entity","Users","",""
"","15","Get exercise","LMS service","Tue Apr 28 19:52:09 UTC 2026","passed","Tue Apr 28 19:52:09 UTC 2026","Get entity","Exercises","",""
"","14","Delete course","LMS service","Tue Apr 28 19:52:06 UTC 2026","passed","Tue Apr 28 19:52:06 UTC 2026","Delete entity","Courses","",""
"","24","Get course","LMS service","Tue Apr 28 19:52:05 UTC 2026","passed","Tue Apr 28 19:52:05 UTC 2026","Get entity","Courses","",""
"","284","Refresh Token","LMS service","Tue Apr 28 19:51:51 UTC 2026","passed","Tue Apr 28 19:51:51 UTC 2026","Refresh","Authentication","",""
