"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Create user","LMS service","Sat Apr 04 12:06:07 UTC 2026","passed","Sat Apr 04 12:06:08 UTC 2026","Create entity","Users","",""
"","12","Get user view","LMS service","Sat Apr 04 12:06:09 UTC 2026","passed","Sat Apr 04 12:06:09 UTC 2026","Get entity","Users","",""
"","284","Create user","LMS service","Sat Apr 04 12:06:07 UTC 2026","passed","Sat Apr 04 12:06:07 UTC 2026","Create entity","Users","",""
"","13","Get file with incorrect file id","LMS service","Sat Apr 04 12:06:14 UTC 2026","passed","Sat Apr 04 12:06:14 UTC 2026","Validate entity","Files","",""
"","16","Create file with empty directory","LMS service","Sat Apr 04 12:06:13 UTC 2026","passed","Sat Apr 04 12:06:13 UTC 2026","Validate entity","Files","",""
"","15","Delete exercise","LMS service","Sat Apr 04 12:06:22 UTC 2026","passed","Sat Apr 04 12:06:22 UTC 2026","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Sat Apr 04 12:06:08 UTC 2026","passed","Sat Apr 04 12:06:08 UTC 2026","Create entity","Users","",""
"","20","Create file","LMS service","Sat Apr 04 12:06:11 UTC 2026","passed","Sat Apr 04 12:06:11 UTC 2026","Create entity","Files","",""
"","20","Create exercise","LMS service","Sat Apr 04 12:06:20 UTC 2026","passed","Sat Apr 04 12:06:20 UTC 2026","Create entity","Exercises","",""
"","19","Delete file","LMS service","Sat Apr 04 12:06:14 UTC 2026","passed","Sat Apr 04 12:06:14 UTC 2026","Delete entity","Files","",""
"","290","Create user","LMS service","Sat Apr 04 12:06:07 UTC 2026","passed","Sat Apr 04 12:06:07 UTC 2026","Create entity","Users","",""
"","16","Get exercises","LMS service","Sat Apr 04 12:06:23 UTC 2026","passed","Sat Apr 04 12:06:23 UTC 2026","GET entities","Exercises","",""
"","15","Create file with empty filename","LMS service","Sat Apr 04 12:06:12 UTC 2026","passed","Sat Apr 04 12:06:12 UTC 2026","Validate entity","Files","",""
"","18","Update exercise","LMS service","Sat Apr 04 12:06:21 UTC 2026","passed","Sat Apr 04 12:06:22 UTC 2026","Update entity","Exercises","",""
"","12","Get file","LMS service","Sat Apr 04 12:06:12 UTC 2026","passed","Sat Apr 04 12:06:12 UTC 2026","Get entity","Files","",""
"","28","Update  course","LMS service","Sat Apr 04 12:06:17 UTC 2026","passed","Sat Apr 04 12:06:17 UTC 2026","Update entity","Courses","",""
"","25","Get courses","LMS service","Sat Apr 04 12:06:17 UTC 2026","passed","Sat Apr 04 12:06:17 UTC 2026","GET entities","Courses","",""
"","24","Create course","LMS service","Sat Apr 04 12:06:18 UTC 2026","passed","Sat Apr 04 12:06:18 UTC 2026","Create entity","Courses","",""
"","281","Login with correct email and password","LMS service","Sat Apr 04 12:06:05 UTC 2026","passed","Sat Apr 04 12:06:05 UTC 2026","Login","Authentication","",""
"","15","Get exercise","LMS service","Sat Apr 04 12:06:21 UTC 2026","passed","Sat Apr 04 12:06:21 UTC 2026","Get entity","Exercises","",""
