"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Login with correct email and password","LMS service","Sun Mar 08 08:09:02 UTC 2026","passed","Sun Mar 08 08:09:02 UTC 2026","Login","Authentication","",""
"","22","Create exercise","LMS service","Sun Mar 08 08:09:04 UTC 2026","passed","Sun Mar 08 08:09:04 UTC 2026","Create entity","Exercises","",""
"","17","Get exercises","LMS service","Sun Mar 08 08:09:07 UTC 2026","passed","Sun Mar 08 08:09:07 UTC 2026","GET entities","Exercises","",""
"","260","Create file with empty filename","LMS service","Sun Mar 08 08:09:08 UTC 2026","passed","Sun Mar 08 08:09:09 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Sun Mar 08 08:09:10 UTC 2026","passed","Sun Mar 08 08:09:10 UTC 2026","Delete entity","Files","",""
"","291","Delete exercise","LMS service","Sun Mar 08 08:09:06 UTC 2026","passed","Sun Mar 08 08:09:06 UTC 2026","Delete entity","Exercises","",""
"","261","Create file","LMS service","Sun Mar 08 08:09:07 UTC 2026","passed","Sun Mar 08 08:09:07 UTC 2026","Create entity","Files","",""
"","40","Create course","LMS service","Sun Mar 08 08:09:04 UTC 2026","passed","Sun Mar 08 08:09:04 UTC 2026","Create entity","Courses","",""
"","16","Get exercise","LMS service","Sun Mar 08 08:09:06 UTC 2026","passed","Sun Mar 08 08:09:06 UTC 2026","Get entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Sun Mar 08 08:09:09 UTC 2026","passed","Sun Mar 08 08:09:09 UTC 2026","Validate entity","Files","",""
"","541","Create user","LMS service","Sun Mar 08 08:09:10 UTC 2026","passed","Sun Mar 08 08:09:11 UTC 2026","Create entity","Users","",""
"","304","Update course","LMS service","Sun Mar 08 08:09:02 UTC 2026","passed","Sun Mar 08 08:09:03 UTC 2026","Update entity","Courses","",""
"","18","Get file with incorrect file id","LMS service","Sun Mar 08 08:09:10 UTC 2026","passed","Sun Mar 08 08:09:10 UTC 2026","Validate entity","Files","",""
"","533","Create user","LMS service","Sun Mar 08 08:09:10 UTC 2026","passed","Sun Mar 08 08:09:10 UTC 2026","Create entity","Users","",""
"","290","Create user","LMS service","Sun Mar 08 08:09:10 UTC 2026","passed","Sun Mar 08 08:09:11 UTC 2026","Create entity","Users","",""
"","27","Get courses","LMS service","Sun Mar 08 08:09:03 UTC 2026","passed","Sun Mar 08 08:09:03 UTC 2026","GET entities","Courses","",""
"","12","Get user me","LMS service","Sun Mar 08 08:09:11 UTC 2026","passed","Sun Mar 08 08:09:11 UTC 2026","Create entity","Users","",""
"","294","Update exercise","LMS service","Sun Mar 08 08:09:05 UTC 2026","passed","Sun Mar 08 08:09:05 UTC 2026","Update entity","Exercises","",""
"","12","Get file","LMS service","Sun Mar 08 08:09:08 UTC 2026","passed","Sun Mar 08 08:09:08 UTC 2026","Get entity","Files","",""
