"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create file","LMS service","Thu Mar 26 21:08:57 UTC 2026","passed","Thu Mar 26 21:08:57 UTC 2026","Create entity","Files","",""
"","25","Get courses","LMS service","Thu Mar 26 21:09:02 UTC 2026","passed","Thu Mar 26 21:09:02 UTC 2026","GET entities","Courses","",""
"","15","Create file with empty filename","LMS service","Thu Mar 26 21:08:58 UTC 2026","passed","Thu Mar 26 21:08:58 UTC 2026","Validate entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Thu Mar 26 21:09:00 UTC 2026","passed","Thu Mar 26 21:09:00 UTC 2026","Validate entity","Files","",""
"","16","Get user me","LMS service","Thu Mar 26 21:08:54 UTC 2026","passed","Thu Mar 26 21:08:54 UTC 2026","Create entity","Users","",""
"","285","Create user","LMS service","Thu Mar 26 21:08:53 UTC 2026","passed","Thu Mar 26 21:08:53 UTC 2026","Create entity","Users","",""
"","283","Login with correct email and password","LMS service","Thu Mar 26 21:08:51 UTC 2026","passed","Thu Mar 26 21:08:51 UTC 2026","Login","Authentication","",""
"","25","Create course","LMS service","Thu Mar 26 21:09:04 UTC 2026","passed","Thu Mar 26 21:09:04 UTC 2026","Create entity","Courses","",""
"","15","Create file with empty directory","LMS service","Thu Mar 26 21:08:59 UTC 2026","passed","Thu Mar 26 21:08:59 UTC 2026","Validate entity","Files","",""
"","18","Delete file","LMS service","Thu Mar 26 21:08:59 UTC 2026","passed","Thu Mar 26 21:08:59 UTC 2026","Delete entity","Files","",""
"","293","Create user","LMS service","Thu Mar 26 21:08:53 UTC 2026","passed","Thu Mar 26 21:08:53 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Thu Mar 26 21:08:57 UTC 2026","passed","Thu Mar 26 21:08:57 UTC 2026","Get entity","Files","",""
"","26","Update  course","LMS service","Thu Mar 26 21:09:03 UTC 2026","passed","Thu Mar 26 21:09:03 UTC 2026","Update entity","Courses","",""
"","287","Create user","LMS service","Thu Mar 26 21:08:53 UTC 2026","passed","Thu Mar 26 21:08:53 UTC 2026","Create entity","Users","",""
