"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create file with empty filename","LMS service","Thu May 07 09:29:51 UTC 2026","passed","Thu May 07 09:29:51 UTC 2026","Validate entity","Files","",""
"","286","Create user","LMS service","Thu May 07 09:29:44 UTC 2026","passed","Thu May 07 09:29:44 UTC 2026","Create entity","Users","",""
"","15","Update user with incorrect email in body","LMS service","Thu May 07 09:29:48 UTC 2026","passed","Thu May 07 09:29:48 UTC 2026","Validate entity","Users","",""
"","23","Get course","LMS service","Thu May 07 09:29:57 UTC 2026","passed","Thu May 07 09:29:57 UTC 2026","Get entity","Courses","",""
"","26","Create course","LMS service","Thu May 07 09:29:57 UTC 2026","passed","Thu May 07 09:29:57 UTC 2026","Create entity","Courses","",""
"","14","Get user with incorrect user id","LMS service","Thu May 07 09:29:46 UTC 2026","passed","Thu May 07 09:29:46 UTC 2026","Validate entity","Users","",""
"","16","Get exercises","LMS service","Thu May 07 09:30:03 UTC 2026","passed","Thu May 07 09:30:03 UTC 2026","GET entities","Exercises","",""
"","18","Delete file","LMS service","Thu May 07 09:29:52 UTC 2026","passed","Thu May 07 09:29:52 UTC 2026","Delete entity","Files","",""
"","13","Get user me","LMS service","Thu May 07 09:29:45 UTC 2026","passed","Thu May 07 09:29:45 UTC 2026","Create entity","Users","",""
"","285","Create user","LMS service","Thu May 07 09:29:43 UTC 2026","passed","Thu May 07 09:29:44 UTC 2026","Create entity","Users","",""
"","15","Create file with empty directory","LMS service","Thu May 07 09:29:52 UTC 2026","passed","Thu May 07 09:29:52 UTC 2026","Validate entity","Files","",""
"","22","Create file","LMS service","Thu May 07 09:29:50 UTC 2026","passed","Thu May 07 09:29:50 UTC 2026","Create entity","Files","",""
"","14","Get user view","LMS service","Thu May 07 09:29:45 UTC 2026","passed","Thu May 07 09:29:45 UTC 2026","Get entity","Users","",""
"","15","Delete exercise","LMS service","Thu May 07 09:30:02 UTC 2026","passed","Thu May 07 09:30:02 UTC 2026","Delete entity","Exercises","",""
"","21","Create exercise","LMS service","Thu May 07 09:30:00 UTC 2026","passed","Thu May 07 09:30:00 UTC 2026","Create entity","Exercises","",""
"","11","Get file","LMS service","Thu May 07 09:29:51 UTC 2026","passed","Thu May 07 09:29:51 UTC 2026","Get entity","Files","",""
"","20","Update user view","LMS service","Thu May 07 09:29:46 UTC 2026","passed","Thu May 07 09:29:46 UTC 2026","Update entity","Users","",""
"","286","Refresh Token","LMS service","Thu May 07 09:29:41 UTC 2026","passed","Thu May 07 09:29:41 UTC 2026","Refresh","Authentication","",""
"","27","Update  course","LMS service","Thu May 07 09:29:56 UTC 2026","passed","Thu May 07 09:29:56 UTC 2026","Update entity","Courses","",""
"","19","Update exercise","LMS service","Thu May 07 09:30:02 UTC 2026","passed","Thu May 07 09:30:02 UTC 2026","Update entity","Exercises","",""
"","282","Login with correct email and password","LMS service","Thu May 07 09:29:41 UTC 2026","passed","Thu May 07 09:29:41 UTC 2026","Login","Authentication","",""
"","16","Delete user view","LMS service","Thu May 07 09:29:47 UTC 2026","passed","Thu May 07 09:29:47 UTC 2026","Delete entity","Users","",""
"","289","Create user","LMS service","Thu May 07 09:29:43 UTC 2026","passed","Thu May 07 09:29:43 UTC 2026","Create entity","Users","",""
"","25","Delete course","LMS service","Thu May 07 09:29:58 UTC 2026","passed","Thu May 07 09:29:58 UTC 2026","Delete entity","Courses","",""
"","16","Get exercise","LMS service","Thu May 07 09:30:01 UTC 2026","passed","Thu May 07 09:30:01 UTC 2026","Get entity","Exercises","",""
"","25","Get courses","LMS service","Thu May 07 09:29:55 UTC 2026","passed","Thu May 07 09:29:55 UTC 2026","GET entities","Courses","",""
"","13","Get file with incorrect file id","LMS service","Thu May 07 09:29:53 UTC 2026","passed","Thu May 07 09:29:53 UTC 2026","Validate entity","Files","",""
